# PROXY_FOR_PC_1         PROXY_FOR_PC_2           PROXY_FOR_PC_3            PROXY_FOR_PC_4          PROXY_FOR_PC_5           PROXY_FOR_PC_6           PROXY_FOR_PC_7           PROXY_FOR_PC_8                                  
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.317199750561486814e-08 1.197246295280178186e-09 4.744226543006480330e-08 7.746008834824769164e-08 3.157600730228527669e-08 1.147469250257454152e-07 -1.536350494794465667e-07 -2.414651320072193157e-08
-5.333881816148471407e-08 2.477626264310078577e-08 4.693342471828077972e-08 5.967578415583694473e-08 5.688122038809224113e-08 8.985281213574045459e-08 -6.082891164554502764e-08 1.025279038183255007e-07
-3.744381569285346073e-08 3.435197148623736037e-08 3.914730911170926172e-08 2.650480137576460165e-08 5.801976544090631209e-08 8.083697059636737188e-08 -2.274133837688960629e-08 1.180365519390939267e-07
-2.520972743981048355e-08 3.459861846172568152e-08 2.697643810272649170e-08 -5.782978155540305248e-09 4.909754621094627783e-08 7.087812598351932123e-08 -1.661499966498913774e-09 7.385415730511993660e-08
-1.618318167740085333e-08 2.967912590323086097e-08 1.418777567518124877e-08 -2.511678832580808758e-08 3.808638133572264691e-08 5.332889212199016079e-08 1.440601690133853922e-08 3.770872533759986250e-08
-9.845721557592420222e-09 2.282167737048836019e-08 3.946609675307190666e-09 -2.861636768552565552e-08 2.568749598036573619e-08 3.206307195813609515e-08 1.804392284301603008e-08 1.568484176204271360e-08
-5.630081714817255071e-09 1.602845097963591296e-08 -1.828271447209328755e-09 -2.156130417863851529e-08 1.473142866663087635e-08 1.547343012590955542e-08 8.516192038467781219e-09 -7.757690911537557986e-09
-2.983048780859020755e-09 1.059986920513710456e-08 -5.523285485113539957e-09 -1.187199068545753026e-08 7.357970867523854611e-09 4.491415131941836891e-09 7.270523341578978213e-10 -5.586190611277418069e-09
-1.440943237638752504e-09 6.495152117227526112e-09 -6.888916097727268561e-09 -4.600703373347094081e-09 3.418694832941224838e-09 -6.398036767418089357e-10 1.619331479828320584e-10 -1.421645207778369592e-09
-6.107291203327260891e-10 3.710974331178883863e-09 -6.753924582275269371e-09 -5.439752865463798309e-10 2.388159397553231561e-09 -2.317049774191348964e-09 3.736181336161909657e-09 3.917747896011624386e-09
-2.129280350494439374e-10 1.970845007214599542e-09 -5.814279916439007689e-09 1.165895481119125120e-09 2.587898639798501148e-09 -1.763852085266204657e-09 8.827646487925635845e-09 3.214542089283763282e-09
-4.375734505249309966e-11 9.547691833892675798e-10 -4.597911735559879960e-09 1.597068817905447440e-09 2.841190419027564815e-09 -5.473811836076631554e-10 1.233774825202901219e-08 1.922300386702047597e-09
1.830013756759295650e-11 4.418003388902439223e-10 -3.408123099030619771e-09 1.350425030031120030e-09 2.481453752342198614e-09 1.778429245302713028e-10 1.372927202533100740e-08 2.328808933215671596e-09
3.567573108912979432e-11 1.875541473398123977e-10 -2.268263389844873224e-09 8.339108938304662104e-10 1.964151985080424018e-09 4.171061548558991449e-10 1.284006038435895650e-08 2.540867500607329411e-09
4.055541910181494610e-11 5.501942037244466466e-11 -1.365284271095371035e-09 3.801445852841720016e-10 1.343165446046376755e-09 3.960633507775008771e-10 1.162753666668494300e-08 2.896169753212006695e-09
4.116670618686434301e-11 -1.091891426077030961e-11 -6.621216452013031617e-10 6.531214854468051105e-11 7.621891072541046772e-10 3.104405787292303568e-10 9.369150461152431375e-09 3.365091611044991686e-09
4.106110306716607226e-11 -3.981351806511860892e-11 -1.707535729817053945e-10 -1.353368833819830227e-10 2.649866701790248237e-10 2.064740884404459333e-10 7.083088399075250640e-09 2.800123429353151194e-09
3.724602270763633957e-11 -5.850510802985203727e-11 1.275060191598874113e-10 -2.098566368459521159e-10 1.025828121664484663e-11 1.419014180284954418e-10 4.671761558656469598e-09 1.632006594262843586e-09
3.006594644988423057e-11 -5.837794391977801949e-11 2.405250136278913275e-10 -2.137253649711631668e-10 -4.945321403636006977e-11 1.523107122478119759e-10 2.235469422377501372e-09 -2.935597970954933726e-10
2.118608745635049981e-11 -5.548924654949981432e-11 2.320089772436333375e-10 -1.727664084456128290e-10 2.671423659652165416e-11 1.870094709512666484e-10 -1.901059939382610269e-10 -2.574482356287924589e-09
1.269750983650463635e-11 -4.894510585436127754e-11 1.759914586633308216e-10 -1.244782256022128401e-10 1.383851774032919086e-10 2.223678954075695009e-10 -1.944357967687990430e-09 -4.254009687343056519e-09
